City Hotel,January,3736
City Hotel,February,4965
City Hotel,March,6458
City Hotel,April,7480
City Hotel,May,8232
City Hotel,June,7894
City Hotel,July,8088
City Hotel,August,8983
City Hotel,September,7400
City Hotel,October,7605
City Hotel,November,4357
City Hotel,December,4132
Resort Hotel,January,2193
Resort Hotel,February,3103
Resort Hotel,March,3336
Resort Hotel,April,3609
Resort Hotel,May,3559
Resort Hotel,June,3045
Resort Hotel,July,4573
Resort Hotel,August,4894
Resort Hotel,September,3108
Resort Hotel,October,3555
Resort Hotel,November,2437
Resort Hotel,December,2648
City Hotel,January,1482
City Hotel,February,1901
City Hotel,March,2386
City Hotel,April,3465
City Hotel,May,3653
City Hotel,June,3528
City Hotel,July,3306
City Hotel,August,3602
City Hotel,September,3110
City Hotel,October,3268
City Hotel,November,1661
City Hotel,December,1740
Resort Hotel,January,325
Resort Hotel,February,795
Resort Hotel,March,763
Resort Hotel,April,1059
Resort Hotel,May,1024
Resort Hotel,June,1007
Resort Hotel,July,1436
Resort Hotel,August,1637
Resort Hotel,September,1006
Resort Hotel,October,978
Resort Hotel,November,461
Resort Hotel,December,631
